Slice	XM	YM	radius
4	551.0	616.5	7
4	555.5	616.0	8
4	558.0	613.5	8
4	5.5	503.0	8
4	15.0	447.0	14
4	5.0	446.0	15
4	554.5	19.5	2
4	547.5	19.5	7
4	552.5	8.5	8
4	541.5	7.5	7
5	196.0	623.0	0
5	194.0	623.5	0
5	126.0	623.5	0
5	124.0	623.0	1
5	101.0	623.0	1
5	534.5	622.5	1
5	289.0	622.5	1
5	286.5	622.5	1
5	260.0	622.5	1
5	184.0	622.5	1
5	265.0	622.0	2
5	245.5	621.5	1
5	526.0	621.5	2
5	191.5	619.0	0
5	530.5	621.0	3
5	294.5	619.5	5
5	196.5	621.0	3
5	100.5	619.5	2
5	55.0	620.5	2
5	317.5	618.5	3
5	267.0	617.0	0
5	262.5	618.5	1
5	358.0	619.5	6
5	335.0	621.5	12
5	196.0	616.5	0
5	138.5	620.5	5
5	369.0806579589844	620.3709716796875	6
5	265.0	616.5	1
5	241.5	619.5	4
5	190.0	618.0	4
5	270.0	614.5	2
5	367.75	613.5	2
5	282.5	613.0	1
5	51.0	612.5	0
5	523.6428833007812	614.5	4
5	400.0	611.0	0
5	128.5	616.0	5
5	551.0	617.0	7
5	530.5	613.0	3
5	397.0	612.0	7
5	110.0	614.5	6
5	558.0	609.0	0
5	462.70001220703125	615.9000244140625	7
5	156.0	616.5	7
5	45.5	616.5	10
5	412.5	608.0	0
5	368.5	608.5	3
5	355.0	608.5	1
5	285.5	612.5908813476562	5
5	277.5	609.5	5
5	160.5	607.5	1
5	63.0	615.5	8
5	554.5	607.5	2
5	459.5	607.5	2
5	293.0	608.5	3
5	283.5	605.0	0
5	9.5	614.5	9
5	448.0	614.0	11
5	446.0	618.5	2
5	446.0	614.0	2
5	254.09375	609.21875	5
5	39.0	605.5	6
5	558.0	605.0	2
5	435.5	606.5	5
5	415.5	615.5	22
5	362.0	606.0	3
5	352.0	609.5	6
5	306.0	611.0	10
5	455.5	606.0	4
5	27.0	605.5	4
5	138.0	602.5	2
5	453.0	600.5	1
5	354.5	601.0	2
5	115.0999984741211	603.2999877929688	4
5	450.5	600.0	2
5	357.0	600.0	2
5	257.5	608.0	15
5	447.5	599.5	2
5	445.0	597.5	0
5	360.0	599.5	2
5	326.5	600.0	7
5	428.5	599.5	3
5	238.0	602.0	7
5	21.5	610.0	15
5	292.0	601.0	7
5	488.5	601.0	7
5	448.0	594.5	1
5	119.5	604.0	10
5	76.0	600.0	9
5	236.0	593.5	1
5	444.5	593.5	1
5	289.0	592.5	1
5	238.5	592.5	0
5	134.5	600.5	9
5	557.0	594.0	3
5	390.8513488769531	597.1756591796875	11
5	304.5	592.5	3
5	107.5	590.5	2
5	553.0	589.5	0
5	321.5	594.5	12
5	484.5	591.0	4
5	372.0	588.0	0
5	426.5	587.0	0
5	304.0	587.0	2
5	300.0	587.5	0
5	341.9615478515625	592.2692260742188	11
5	288.0	588.0	4
5	382.5	588.5	4
5	370.0	585.0	1
5	2.0	591.0	7
5	232.5	587.5	4
5	156.5	594.5	11
5	117.0	583.0	0
5	517.5	588.0	6
5	142.5	587.5	6
5	72.5	586.5	5
5	511.0	581.5	1
5	336.5	583.5	5
5	233.5	581.5	1
5	36.0	584.0	3
5	554.0	581.5	1
5	368.0	581.5	1
5	42.5	585.0	6
5	341.0	579.0	0
